call id,agent,date,time,topic,answered (Y/N),resolved,speed of answer in seconds,avgtalkduration,satisfaction rating
ID2598,Dan,2/15/2021,9:33:07,Contract related,Y,Y,13,348,1
ID2599,Becky,2/15/2021,10:01:55,Technical Support,Y,Y,89,53,1
ID2600,Becky,2/15/2021,10:01:55,Streaming,Y,Y,103,357,4
ID2601,Jim,2/15/2021,10:01:55,Payment related,Y,Y,103,228,3
ID2602,Greg,2/15/2021,10:01:55,Payment related,N,N,,0,
ID2603,Stewart,2/15/2021,10:20:38,Contract related,Y,N,59,211,3
ID2604,Joe,2/15/2021,10:20:38,Payment related,Y,Y,113,98,3
ID2605,Diane,2/15/2021,11:12:29,Contract related,Y,Y,69,112,2
ID2606,Diane,2/15/2021,11:12:29,Technical Support,Y,Y,69,111,2
ID2607,Becky,2/15/2021,11:34:05,Technical Support,Y,N,11,307,4
ID2608,Dan,2/15/2021,11:34:05,Contract related,Y,Y,75,251,2
ID2609,Jim,2/15/2021,11:41:17,Technical Support,Y,N,24,152,5
ID2610,Becky,2/15/2021,11:41:17,Admin Support,Y,Y,124,368,3
ID2611,Greg,2/15/2021,11:45:36,Admin Support,Y,Y,32,154,5
ID2612,Stewart,2/15/2021,11:45:36,Admin Support,Y,Y,105,394,5
ID2613,Becky,2/15/2021,11:48:29,Technical Support,N,N,,0,
ID2614,Jim,2/15/2021,11:48:29,Payment related,Y,Y,94,63,4
ID2615,Joe,2/15/2021,12:07:12,Contract related,Y,Y,107,136,4
ID2616,Diane,2/15/2021,12:07:12,Admin Support,Y,Y,79,333,5
ID2617,Dan,2/15/2021,12:21:36,Contract related,N,N,,0,
ID2618,Becky,2/15/2021,12:21:36,Admin Support,Y,Y,59,125,4
ID2619,Dan,2/15/2021,12:38:53,Technical Support,Y,N,117,294,3
ID2620,Martha,2/15/2021,12:38:53,Streaming,Y,Y,37,111,3
ID2621,Dan,2/15/2021,13:00:29,Admin Support,Y,Y,94,320,4
ID2622,Becky,2/15/2021,13:00:29,Technical Support,Y,Y,120,165,1
ID2623,Jim,2/15/2021,13:26:24,Contract related,N,N,,0,
ID2624,Martha,2/15/2021,13:26:24,Streaming,Y,Y,50,407,2
ID2625,Becky,2/15/2021,13:39:22,Payment related,Y,Y,47,148,5
ID2626,Stewart,2/15/2021,13:39:22,Streaming,N,N,,0,
ID2627,Dan,2/15/2021,13:42:14,Admin Support,Y,Y,118,173,5
ID2628,Becky,2/15/2021,13:42:14,Admin Support,N,N,,0,
ID2629,Greg,2/15/2021,14:28:19,Technical Support,N,N,,0,
ID2630,Jim,2/15/2021,14:28:19,Technical Support,Y,Y,14,73,5
ID2631,Dan,2/15/2021,14:29:46,Technical Support,Y,Y,88,69,3
ID2632,Joe,2/15/2021,14:29:46,Streaming,Y,Y,124,52,4
ID2633,Diane,2/15/2021,14:44:10,Payment related,Y,Y,18,48,5
ID2634,Dan,2/15/2021,14:44:10,Admin Support,Y,Y,22,125,3
ID2635,Jim,2/15/2021,14:51:22,Technical Support,N,N,,0,
ID2636,Becky,2/15/2021,14:51:22,Streaming,Y,Y,94,378,5
ID2637,Becky,2/15/2021,14:57:07,Technical Support,Y,N,54,216,3
ID2638,Greg,2/15/2021,14:57:07,Contract related,Y,N,44,197,5
ID2639,Greg,2/15/2021,15:46:05,Admin Support,Y,Y,28,263,3
ID2640,Jim,2/15/2021,15:46:05,Payment related,Y,Y,103,192,3
ID2641,Joe,2/15/2021,15:47:31,Technical Support,Y,Y,25,47,4
ID2642,Becky,2/15/2021,15:47:31,Streaming,N,N,,0,
ID2643,Jim,2/15/2021,16:01:55,Streaming,Y,Y,84,250,3
ID2644,Dan,2/15/2021,16:01:55,Streaming,Y,Y,36,237,4
ID2645,Becky,2/15/2021,17:11:02,Payment related,N,N,,0,
ID2646,Stewart,2/15/2021,17:11:02,Payment related,Y,Y,42,221,4
ID2647,Dan,2/15/2021,17:18:14,Streaming,Y,Y,124,231,3
ID2648,Stewart,2/15/2021,17:18:14,Technical Support,Y,Y,99,220,5
ID2649,Diane,2/15/2021,17:19:41,Streaming,Y,Y,124,263,5
ID2650,Greg,2/15/2021,17:19:41,Admin Support,Y,Y,55,385,5
ID2651,Dan,2/15/2021,17:45:36,Admin Support,N,N,,0,
ID2652,Jim,2/15/2021,17:45:36,Payment related,N,N,,0,
ID2653,Greg,2/16/2021,9:07:12,Admin Support,Y,Y,64,306,2
ID2654,Diane,2/16/2021,9:07:12,Technical Support,Y,Y,82,294,2
ID2655,Diane,2/16/2021,10:04:48,Streaming,Y,Y,50,199,4
ID2656,Stewart,2/16/2021,10:04:48,Contract related,Y,Y,100,222,4
ID2657,Jim,2/16/2021,10:23:31,Admin Support,Y,Y,26,414,3
ID2658,Dan,2/16/2021,10:23:31,Payment related,Y,Y,75,254,2
ID2659,Greg,2/16/2021,10:30:43,Technical Support,Y,Y,26,388,3
ID2660,Dan,2/16/2021,10:30:43,Payment related,Y,Y,21,308,3
ID2661,Stewart,2/16/2021,10:30:43,Admin Support,Y,Y,53,31,1
ID2662,Greg,2/16/2021,10:30:43,Streaming,Y,Y,109,157,3
ID2663,Becky,2/16/2021,11:06:43,Streaming,Y,Y,108,364,3
ID2664,Stewart,2/16/2021,11:06:43,Contract related,Y,Y,58,316,5
ID2665,Stewart,2/16/2021,11:12:29,Payment related,Y,Y,14,351,5
ID2666,Martha,2/16/2021,11:12:29,Contract related,Y,Y,74,331,4
ID2667,Jim,2/16/2021,11:18:14,Contract related,N,N,,0,
ID2668,Jim,2/16/2021,11:18:14,Streaming,Y,Y,54,166,5
ID2669,Greg,2/16/2021,11:26:53,Streaming,Y,Y,18,223,4
ID2670,Joe,2/16/2021,11:26:53,Payment related,Y,Y,39,373,3
ID2671,Martha,2/16/2021,12:10:05,Payment related,Y,Y,31,197,1
ID2672,Diane,2/16/2021,12:10:05,Technical Support,Y,Y,118,300,3
ID2673,Diane,2/16/2021,12:50:24,Payment related,N,N,,0,
ID2674,Joe,2/16/2021,12:50:24,Contract related,Y,Y,118,358,3
ID2675,Jim,2/16/2021,13:03:22,Payment related,Y,Y,69,217,4
ID2676,Greg,2/16/2021,13:03:22,Payment related,Y,Y,125,381,5
ID2677,Dan,2/16/2021,14:26:53,Streaming,Y,N,47,161,3
ID2678,Joe,2/16/2021,14:26:53,Payment related,Y,Y,53,64,1
ID2679,Diane,2/16/2021,14:48:29,Streaming,Y,N,55,277,2
ID2680,Martha,2/16/2021,14:48:29,Admin Support,Y,Y,91,330,2
ID2681,Joe,2/16/2021,14:54:14,Technical Support,Y,Y,37,323,3
ID2682,Jim,2/16/2021,14:54:14,Admin Support,Y,Y,118,293,4
ID2683,Dan,2/16/2021,15:07:12,Technical Support,Y,Y,37,336,5
ID2684,Becky,2/16/2021,15:07:12,Admin Support,Y,Y,124,244,4
ID2685,Greg,2/16/2021,15:20:10,Technical Support,Y,Y,105,95,4
ID2686,Diane,2/16/2021,15:20:10,Admin Support,N,N,,0,
ID2687,Greg,2/16/2021,15:34:34,Technical Support,Y,Y,36,207,1
ID2688,Martha,2/16/2021,15:34:34,Streaming,Y,Y,87,412,4
ID2689,Becky,2/16/2021,16:04:48,Technical Support,Y,Y,98,302,4
ID2690,Dan,2/16/2021,16:04:48,Admin Support,N,N,,0,
ID2691,Joe,2/16/2021,16:14:53,Payment related,Y,Y,37,171,3
ID2692,Jim,2/16/2021,16:14:53,Streaming,Y,Y,65,288,1
ID2693,Diane,2/16/2021,16:24:58,Contract related,Y,Y,117,387,3
ID2694,Dan,2/16/2021,16:24:58,Streaming,Y,Y,70,102,4
ID2695,Greg,2/16/2021,16:29:17,Streaming,N,N,,0,
ID2696,Becky,2/16/2021,16:29:17,Streaming,Y,Y,30,333,3
ID2697,Becky,2/16/2021,16:32:10,Technical Support,N,N,,0,
ID2698,Jim,2/16/2021,16:32:10,Technical Support,Y,N,53,279,3
ID2699,Becky,2/16/2021,17:12:29,Streaming,Y,Y,69,311,4
ID2700,Stewart,2/16/2021,17:12:29,Contract related,Y,Y,109,250,1
ID2701,Dan,2/16/2021,17:28:19,Technical Support,Y,Y,17,42,5
ID2702,Martha,2/16/2021,17:28:19,Streaming,Y,Y,109,292,4
ID2703,Greg,2/16/2021,17:31:12,Contract related,Y,Y,50,346,5
ID2704,Becky,2/16/2021,17:31:12,Admin Support,Y,N,22,211,3
ID2705,Diane,2/16/2021,17:45:36,Contract related,Y,Y,100,155,4
ID2706,Stewart,2/16/2021,17:45:36,Streaming,Y,Y,101,315,3
ID2707,Becky,2/16/2021,17:52:48,Payment related,Y,Y,15,169,3
ID2708,Diane,2/16/2021,17:52:48,Contract related,Y,Y,59,269,5
ID2709,Stewart,2/17/2021,9:01:26,Contract related,Y,Y,93,195,3
ID2710,Becky,2/17/2021,9:01:26,Payment related,Y,Y,81,385,4
ID2711,Jim,2/17/2021,9:17:17,Admin Support,Y,Y,20,131,1
ID2712,Greg,2/17/2021,9:17:17,Contract related,Y,Y,47,35,3
ID2713,Diane,2/17/2021,9:23:02,Admin Support,Y,N,17,182,1
ID2714,Stewart,2/17/2021,9:23:02,Payment related,Y,N,15,64,3
ID2715,Diane,2/17/2021,9:34:34,Technical Support,Y,Y,94,370,5
ID2716,Martha,2/17/2021,9:34:34,Technical Support,Y,Y,10,135,5
ID2717,Joe,2/17/2021,9:53:17,Admin Support,Y,Y,96,252,3
ID2718,Joe,2/17/2021,9:53:17,Admin Support,Y,Y,32,101,4
ID2719,Becky,2/17/2021,9:59:02,Streaming,Y,Y,36,302,1
ID2720,Martha,2/17/2021,9:59:02,Streaming,Y,Y,50,102,5
ID2721,Stewart,2/17/2021,10:03:22,Payment related,N,N,,0,
ID2722,Martha,2/17/2021,10:03:22,Payment related,Y,Y,89,33,2
ID2723,Diane,2/17/2021,10:36:29,Contract related,N,N,,0,
ID2724,Joe,2/17/2021,10:36:29,Admin Support,Y,Y,114,347,5
ID2725,Martha,2/17/2021,10:43:41,Streaming,Y,Y,44,391,5
ID2726,Joe,2/17/2021,10:43:41,Admin Support,Y,Y,100,366,5
ID2727,Jim,2/17/2021,11:24:00,Payment related,N,N,,0,
ID2728,Jim,2/17/2021,11:24:00,Contract related,Y,Y,70,49,4
ID2729,Martha,2/17/2021,11:24:00,Contract related,Y,Y,16,243,4
ID2730,Becky,2/17/2021,11:24:00,Admin Support,Y,Y,49,64,4
ID2731,Joe,2/17/2021,11:28:19,Streaming,Y,Y,96,348,4
ID2732,Greg,2/17/2021,11:28:19,Admin Support,Y,Y,85,336,4
ID2733,Martha,2/17/2021,11:42:43,Contract related,Y,Y,65,329,2
ID2734,Martha,2/17/2021,11:42:43,Payment related,Y,Y,67,30,4
ID2735,Greg,2/17/2021,12:05:46,Payment related,Y,Y,50,69,4
ID2736,Becky,2/17/2021,12:05:46,Streaming,N,N,,0,
ID2737,Diane,2/17/2021,12:10:05,Contract related,Y,Y,79,202,3
ID2738,Greg,2/17/2021,12:10:05,Technical Support,Y,Y,107,233,4
ID2739,Martha,2/17/2021,12:11:31,Contract related,Y,N,52,290,1
ID2740,Jim,2/17/2021,12:11:31,Streaming,Y,N,104,385,1
ID2741,Joe,2/17/2021,12:17:17,Admin Support,N,N,,0,
ID2742,Jim,2/17/2021,12:17:17,Contract related,Y,Y,63,54,1
ID2743,Becky,2/17/2021,13:03:22,Technical Support,Y,Y,79,231,4
ID2744,Greg,2/17/2021,13:03:22,Streaming,Y,N,21,391,3
ID2745,Becky,2/17/2021,13:24:58,Technical Support,Y,Y,93,336,3
ID2746,Joe,2/17/2021,13:24:58,Streaming,Y,Y,72,172,4
ID2747,Greg,2/17/2021,13:36:29,Admin Support,Y,Y,84,272,3
ID2748,Stewart,2/17/2021,13:36:29,Admin Support,N,N,,0,
ID2749,Jim,2/17/2021,14:19:41,Admin Support,Y,Y,45,124,3
ID2750,Stewart,2/17/2021,14:19:41,Streaming,N,N,,0,
ID2751,Dan,2/17/2021,14:29:46,Streaming,Y,N,49,81,4
ID2752,Becky,2/17/2021,14:29:46,Admin Support,Y,Y,110,366,4
ID2753,Diane,2/17/2021,14:32:38,Technical Support,Y,N,58,133,3
ID2754,Joe,2/17/2021,14:32:38,Contract related,Y,Y,35,373,4
ID2755,Dan,2/17/2021,15:02:53,Payment related,Y,Y,105,70,4
ID2756,Diane,2/17/2021,15:02:53,Payment related,Y,Y,99,132,3
ID2757,Joe,2/17/2021,15:10:05,Contract related,Y,Y,53,242,2
ID2758,Greg,2/17/2021,15:10:05,Contract related,Y,N,50,402,4
ID2759,Jim,2/17/2021,15:46:05,Contract related,Y,Y,114,152,4
ID2760,Stewart,2/17/2021,15:46:05,Technical Support,N,N,,0,
ID2761,Diane,2/17/2021,16:06:14,Payment related,N,N,,0,
ID2762,Dan,2/17/2021,16:06:14,Payment related,Y,Y,87,150,4
ID2763,Jim,2/17/2021,16:14:53,Payment related,Y,N,55,67,5
ID2764,Martha,2/17/2021,16:14:53,Admin Support,Y,Y,97,354,4
ID2765,Martha,2/17/2021,16:27:50,Payment related,Y,N,12,268,3
ID2766,Greg,2/17/2021,16:27:50,Streaming,N,N,,0,
ID2767,Stewart,2/17/2021,16:36:29,Admin Support,Y,Y,79,181,5
ID2768,Martha,2/17/2021,16:36:29,Technical Support,Y,Y,11,383,3
ID2769,Stewart,2/17/2021,17:11:02,Payment related,Y,N,69,39,4
ID2770,Jim,2/17/2021,17:11:02,Admin Support,N,N,,0,
ID2771,Martha,2/17/2021,17:12:29,Technical Support,N,N,,0,
ID2772,Jim,2/17/2021,17:12:29,Admin Support,Y,Y,123,108,3
ID2773,Joe,2/17/2021,17:44:10,Admin Support,N,N,,0,
ID2774,Martha,2/17/2021,17:44:10,Admin Support,Y,N,48,214,4
ID2775,Joe,2/17/2021,17:54:14,Contract related,Y,Y,78,417,3
ID2776,Joe,2/17/2021,17:54:14,Technical Support,Y,Y,109,244,3
ID2777,Dan,2/18/2021,9:23:02,Technical Support,Y,N,61,354,5
ID2778,Greg,2/18/2021,9:23:02,Payment related,Y,Y,86,97,2
ID2779,Greg,2/18/2021,9:43:12,Admin Support,Y,Y,74,412,4
ID2780,Diane,2/18/2021,9:43:12,Payment related,Y,Y,125,293,3
ID2781,Becky,2/18/2021,10:00:29,Contract related,Y,N,64,369,2
ID2782,Joe,2/18/2021,10:00:29,Streaming,Y,Y,63,126,3
ID2783,Greg,2/18/2021,10:13:26,Admin Support,Y,Y,46,396,4
ID2784,Greg,2/18/2021,10:13:26,Admin Support,Y,Y,63,255,3
ID2785,Joe,2/18/2021,10:16:19,Contract related,Y,Y,96,47,4
ID2786,Dan,2/18/2021,10:16:19,Streaming,Y,Y,37,265,3
ID2787,Dan,2/18/2021,10:33:36,Contract related,Y,Y,73,204,4
ID2788,Diane,2/18/2021,10:33:36,Payment related,Y,Y,111,138,4
ID2789,Joe,2/18/2021,10:37:55,Payment related,N,N,,0,
ID2790,Joe,2/18/2021,10:37:55,Streaming,Y,Y,79,188,2
ID2791,Greg,2/18/2021,10:56:38,Admin Support,N,N,,0,
ID2792,Dan,2/18/2021,10:56:38,Admin Support,Y,N,32,336,3
ID2793,Dan,2/18/2021,11:18:14,Contract related,Y,Y,60,290,3
ID2794,Dan,2/18/2021,11:18:14,Payment related,Y,Y,25,331,3
ID2795,Jim,2/18/2021,11:18:14,Payment related,Y,Y,72,251,4
ID2796,Dan,2/18/2021,11:18:14,Technical Support,Y,Y,82,67,3
ID2797,Jim,2/18/2021,11:25:26,Payment related,N,N,,0,
ID2798,Diane,2/18/2021,11:25:26,Admin Support,Y,Y,104,404,4
ID2799,Stewart,2/18/2021,11:34:05,Technical Support,N,N,,0,
ID2800,Becky,2/18/2021,11:34:05,Technical Support,Y,Y,102,144,5
ID2801,Dan,2/18/2021,11:38:24,Streaming,N,N,,0,
ID2802,Dan,2/18/2021,11:38:24,Technical Support,N,N,,0,
ID2803,Martha,2/18/2021,13:04:48,Streaming,Y,N,86,95,3
ID2804,Becky,2/18/2021,13:04:48,Technical Support,Y,Y,93,364,2
ID2805,Stewart,2/18/2021,13:33:36,Admin Support,N,N,,0,
ID2806,Jim,2/18/2021,13:33:36,Streaming,N,N,,0,
ID2807,Dan,2/18/2021,13:37:55,Technical Support,Y,Y,39,253,2
ID2808,Stewart,2/18/2021,13:37:55,Admin Support,Y,Y,119,46,4
ID2809,Martha,2/18/2021,13:45:07,Contract related,N,N,,0,
ID2810,Stewart,2/18/2021,13:45:07,Technical Support,Y,Y,71,42,3
ID2811,Joe,2/18/2021,13:48:00,Streaming,Y,Y,111,414,1
ID2812,Martha,2/18/2021,13:48:00,Streaming,Y,N,120,240,1
ID2813,Joe,2/18/2021,14:47:02,Technical Support,N,N,,0,
ID2814,Diane,2/18/2021,14:47:02,Admin Support,Y,Y,81,182,5
ID2815,Jim,2/18/2021,14:52:48,Payment related,N,N,,0,
ID2816,Martha,2/18/2021,14:52:48,Streaming,Y,Y,40,143,1
ID2817,Dan,2/18/2021,15:15:50,Admin Support,Y,Y,114,179,5
ID2818,Jim,2/18/2021,15:15:50,Contract related,N,N,,0,
ID2819,Jim,2/18/2021,16:00:29,Payment related,N,N,,0,
ID2820,Jim,2/18/2021,16:00:29,Contract related,Y,Y,29,48,4
ID2821,Jim,2/18/2021,16:03:22,Technical Support,Y,Y,56,390,3
ID2822,Diane,2/18/2021,16:03:22,Technical Support,Y,N,58,165,4
ID2823,Martha,2/18/2021,16:58:05,Technical Support,Y,Y,68,182,5
ID2824,Jim,2/18/2021,16:58:05,Admin Support,Y,N,114,65,3
ID2825,Greg,2/18/2021,16:59:31,Technical Support,Y,Y,11,188,3
ID2826,Becky,2/18/2021,16:59:31,Streaming,Y,Y,46,103,3
ID2827,Jim,2/19/2021,9:01:26,Admin Support,Y,Y,78,406,4
ID2828,Joe,2/19/2021,9:01:26,Payment related,N,N,,0,
ID2829,Joe,2/19/2021,9:17:17,Admin Support,Y,Y,53,301,3
ID2830,Jim,2/19/2021,9:17:17,Payment related,Y,Y,37,201,1
ID2831,Diane,2/19/2021,9:18:43,Streaming,Y,Y,111,220,4
ID2832,Dan,2/19/2021,9:18:43,Contract related,Y,N,14,54,5
ID2833,Diane,2/19/2021,9:25:55,Streaming,Y,Y,82,168,3
ID2834,Stewart,2/19/2021,9:25:55,Contract related,N,N,,0,
ID2835,Dan,2/19/2021,10:46:34,Payment related,N,N,,0,
ID2836,Jim,2/19/2021,10:46:34,Admin Support,N,N,,0,
ID2837,Stewart,2/19/2021,11:22:34,Contract related,Y,Y,69,294,3
ID2838,Diane,2/19/2021,11:22:34,Streaming,Y,Y,21,414,3
ID2839,Becky,2/19/2021,11:42:43,Payment related,Y,Y,113,41,2
ID2840,Martha,2/19/2021,11:42:43,Streaming,Y,Y,34,211,3
ID2841,Jim,2/19/2021,11:54:14,Payment related,Y,N,26,40,3
ID2842,Jim,2/19/2021,11:54:14,Admin Support,Y,Y,76,320,3
ID2843,Diane,2/19/2021,12:15:50,Admin Support,N,N,,0,
ID2844,Martha,2/19/2021,12:15:50,Payment related,N,N,,0,
ID2845,Jim,2/19/2021,13:29:17,Technical Support,Y,Y,63,227,1
ID2846,Stewart,2/19/2021,13:29:17,Admin Support,Y,Y,80,248,3
ID2847,Jim,2/19/2021,13:32:10,Admin Support,Y,Y,36,377,1
ID2848,Diane,2/19/2021,13:32:10,Admin Support,Y,Y,22,115,5
ID2849,Stewart,2/19/2021,13:45:07,Streaming,Y,Y,80,267,2
ID2850,Jim,2/19/2021,13:45:07,Technical Support,Y,Y,109,44,1
ID2851,Stewart,2/19/2021,14:22:34,Technical Support,Y,Y,80,338,3
ID2852,Joe,2/19/2021,14:22:34,Admin Support,Y,Y,108,287,4
ID2853,Becky,2/19/2021,14:26:53,Contract related,Y,Y,10,344,4
ID2854,Greg,2/19/2021,14:26:53,Technical Support,N,N,,0,
ID2855,Martha,2/19/2021,14:45:36,Technical Support,Y,Y,115,158,3
ID2856,Becky,2/19/2021,14:45:36,Admin Support,Y,Y,79,271,3
ID2857,Stewart,2/19/2021,14:52:48,Admin Support,Y,Y,109,39,2
ID2858,Jim,2/19/2021,14:52:48,Contract related,Y,Y,12,315,4
ID2859,Joe,2/19/2021,15:02:53,Streaming,Y,Y,87,134,3
ID2860,Stewart,2/19/2021,15:02:53,Admin Support,Y,Y,55,340,3
ID2861,Joe,2/19/2021,15:33:07,Payment related,Y,Y,109,335,4
ID2862,Becky,2/19/2021,15:33:07,Contract related,N,N,,0,
ID2863,Diane,2/19/2021,15:33:07,Payment related,N,N,,0,
ID2864,Becky,2/19/2021,15:33:07,Payment related,Y,Y,12,69,4
ID2865,Martha,2/19/2021,16:04:48,Payment related,Y,Y,71,171,5
ID2866,Dan,2/19/2021,16:04:48,Technical Support,N,N,,0,
ID2867,Stewart,2/19/2021,16:26:24,Streaming,Y,N,104,389,4
ID2868,Stewart,2/19/2021,16:26:24,Payment related,Y,Y,110,113,1
ID2869,Martha,2/19/2021,17:21:07,Streaming,Y,Y,108,164,1
ID2870,Dan,2/19/2021,17:21:07,Technical Support,Y,Y,88,55,1
ID2871,Stewart,2/19/2021,17:29:46,Contract related,N,N,,0,
ID2872,Joe,2/19/2021,17:29:46,Admin Support,Y,Y,32,368,1
ID2873,Diane,2/19/2021,17:38:24,Contract related,Y,Y,37,373,4
ID2874,Greg,2/19/2021,17:38:24,Payment related,Y,Y,58,205,5
ID2875,Greg,2/20/2021,9:24:29,Contract related,Y,Y,61,246,4
ID2876,Jim,2/20/2021,9:24:29,Contract related,Y,Y,39,105,1
ID2877,Joe,2/20/2021,9:33:07,Contract related,Y,Y,39,341,4
ID2878,Diane,2/20/2021,9:33:07,Streaming,Y,Y,53,107,5
ID2879,Joe,2/20/2021,10:01:55,Contract related,N,N,,0,
ID2880,Stewart,2/20/2021,10:01:55,Streaming,Y,Y,64,311,4
ID2881,Joe,2/20/2021,10:10:34,Technical Support,Y,Y,77,220,3
ID2882,Dan,2/20/2021,10:10:34,Contract related,Y,Y,20,49,1
ID2883,Martha,2/20/2021,10:24:58,Contract related,N,N,,0,
ID2884,Joe,2/20/2021,10:24:58,Admin Support,N,N,,0,
ID2885,Dan,2/20/2021,10:50:53,Admin Support,Y,Y,26,373,5
ID2886,Diane,2/20/2021,10:50:53,Technical Support,Y,Y,33,299,3
ID2887,Jim,2/20/2021,11:00:58,Admin Support,N,N,,0,
ID2888,Becky,2/20/2021,11:00:58,Contract related,Y,Y,122,128,3
ID2889,Martha,2/20/2021,11:11:02,Contract related,N,N,,0,
ID2890,Martha,2/20/2021,11:11:02,Payment related,Y,Y,75,226,3
ID2891,Martha,2/20/2021,11:21:07,Admin Support,Y,Y,27,99,4
ID2892,Diane,2/20/2021,11:21:07,Contract related,Y,Y,37,348,3
ID2893,Diane,2/20/2021,11:34:05,Admin Support,Y,Y,24,145,3
ID2894,Becky,2/20/2021,11:34:05,Streaming,Y,Y,70,322,1
ID2895,Becky,2/20/2021,11:41:17,Technical Support,Y,Y,117,114,4
ID2896,Diane,2/20/2021,11:41:17,Payment related,Y,Y,15,277,1
ID2897,Greg,2/20/2021,11:54:14,Streaming,Y,Y,20,215,3
ID2898,Dan,2/20/2021,11:54:14,Streaming,Y,Y,36,256,2
ID2899,Diane,2/20/2021,12:02:53,Technical Support,Y,Y,63,287,1
ID2900,Becky,2/20/2021,12:02:53,Payment related,Y,Y,20,382,3
ID2901,Dan,2/20/2021,12:10:05,Contract related,Y,N,115,335,4
ID2902,Joe,2/20/2021,12:10:05,Contract related,N,N,,0,
ID2903,Dan,2/20/2021,12:25:55,Technical Support,Y,Y,95,298,3
ID2904,Becky,2/20/2021,12:25:55,Payment related,Y,Y,114,187,4
ID2905,Martha,2/20/2021,12:46:05,Contract related,Y,Y,71,121,4
ID2906,Stewart,2/20/2021,12:46:05,Payment related,Y,Y,44,362,1
ID2907,Greg,2/20/2021,12:51:50,Technical Support,N,N,,0,
ID2908,Becky,2/20/2021,12:51:50,Technical Support,N,N,,0,
ID2909,Stewart,2/20/2021,13:35:02,Payment related,Y,Y,24,114,3
ID2910,Greg,2/20/2021,13:35:02,Streaming,N,N,,0,
ID2911,Dan,2/20/2021,13:56:38,Contract related,Y,Y,70,179,3
ID2912,Jim,2/20/2021,13:56:38,Streaming,N,N,,0,
ID2913,Dan,2/20/2021,14:13:55,Admin Support,Y,Y,33,40,1
ID2914,Diane,2/20/2021,14:13:55,Contract related,N,N,,0,
ID2915,Greg,2/20/2021,14:28:19,Admin Support,Y,N,15,332,1
ID2916,Joe,2/20/2021,14:28:19,Streaming,Y,Y,103,296,4
ID2917,Martha,2/20/2021,15:07:12,Contract related,Y,Y,61,350,5
ID2918,Greg,2/20/2021,15:07:12,Admin Support,N,N,,0,
ID2919,Greg,2/20/2021,15:11:31,Contract related,Y,Y,32,85,4
ID2920,Dan,2/20/2021,15:11:31,Admin Support,Y,Y,33,102,4
ID2921,Becky,2/20/2021,15:12:58,Payment related,Y,Y,30,350,3
ID2922,Stewart,2/20/2021,15:12:58,Streaming,Y,Y,36,326,4
ID2923,Dan,2/20/2021,15:21:36,Technical Support,Y,Y,16,260,4
ID2924,Stewart,2/20/2021,15:21:36,Technical Support,Y,Y,60,267,3
ID2925,Stewart,2/20/2021,15:53:17,Technical Support,N,N,,0,
ID2926,Stewart,2/20/2021,15:53:17,Contract related,Y,Y,42,296,4
ID2927,Dan,2/20/2021,16:00:29,Contract related,Y,Y,58,341,1
ID2928,Greg,2/20/2021,16:00:29,Payment related,Y,N,44,138,1
ID2929,Martha,2/20/2021,16:10:34,Streaming,Y,N,72,153,1
ID2930,Stewart,2/20/2021,16:10:34,Streaming,Y,Y,13,237,4
ID2931,Jim,2/20/2021,16:14:53,Streaming,Y,Y,113,211,4
ID2932,Joe,2/20/2021,16:14:53,Streaming,N,N,,0,
ID2933,Greg,2/20/2021,16:16:19,Contract related,Y,Y,51,390,4
ID2934,Greg,2/20/2021,16:16:19,Contract related,Y,N,85,314,1
ID2935,Stewart,2/20/2021,16:32:10,Payment related,Y,N,27,384,4
ID2936,Dan,2/20/2021,16:32:10,Contract related,Y,Y,75,205,3
ID2937,Jim,2/20/2021,16:52:19,Contract related,Y,Y,63,333,2
ID2938,Dan,2/20/2021,16:52:19,Admin Support,N,N,,0,
ID2939,Diane,2/20/2021,17:25:26,Payment related,Y,Y,22,51,3
ID2940,Becky,2/20/2021,17:25:26,Contract related,N,N,,0,
ID2941,Stewart,2/20/2021,17:57:07,Admin Support,Y,N,106,225,3
ID2942,Greg,2/20/2021,17:57:07,Streaming,Y,Y,86,160,4
ID2943,Stewart,2/21/2021,9:57:36,Contract related,Y,Y,55,364,3
ID2944,Martha,2/21/2021,9:57:36,Admin Support,Y,Y,74,406,2
ID2945,Stewart,2/21/2021,10:12:00,Admin Support,Y,Y,53,380,5
ID2946,Joe,2/21/2021,10:12:00,Technical Support,Y,Y,115,125,3
ID2947,Jim,2/21/2021,10:22:05,Admin Support,Y,Y,29,90,4
ID2948,Joe,2/21/2021,10:22:05,Payment related,Y,Y,16,130,4
ID2949,Martha,2/21/2021,11:06:43,Technical Support,Y,N,26,225,3
ID2950,Becky,2/21/2021,11:06:43,Technical Support,Y,Y,71,229,1
ID2951,Joe,2/21/2021,11:08:10,Streaming,Y,Y,109,271,4
ID2952,Joe,2/21/2021,11:08:10,Technical Support,Y,Y,102,230,5
ID2953,Joe,2/21/2021,11:12:29,Payment related,Y,Y,115,37,4
ID2954,Diane,2/21/2021,11:12:29,Technical Support,Y,Y,48,147,4
ID2955,Dan,2/21/2021,11:35:31,Streaming,Y,Y,41,267,5
ID2956,Greg,2/21/2021,11:35:31,Technical Support,Y,Y,97,190,4
ID2957,Martha,2/21/2021,11:42:43,Payment related,Y,N,39,202,3
ID2958,Becky,2/21/2021,11:42:43,Admin Support,N,N,,0,
